2025-06-15 11:59:46,848 - INFO - Запуск парсера с запросом: кран шаровой, max_products: 0, resume: False, links_file: None
2025-06-15 12:00:28,987 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:00:28,987 - INFO - Прокрутка страницы, собрано ссылок: 348
2025-06-15 12:00:29,507 - INFO - Собрано новых ссылок: 96, всего: 360
2025-06-15 12:00:29,510 - INFO - Прокрутка страницы, собрано ссылок: 360
2025-06-15 12:00:30,042 - INFO - Собрано новых ссылок: 96, всего: 372
2025-06-15 12:00:30,045 - INFO - Прокрутка страницы, собрано ссылок: 372
2025-06-15 12:00:30,581 - INFO - Собрано новых ссылок: 96, всего: 384
2025-06-15 12:00:30,583 - INFO - Прокрутка страницы, собрано ссылок: 384
2025-06-15 12:00:31,110 - INFO - Собрано новых ссылок: 96, всего: 384
2025-06-15 12:00:31,113 - INFO - Прокрутка страницы, собрано ссылок: 384
2025-06-15 12:00:31,627 - INFO - Собрано новых ссылок: 96, всего: 384
2025-06-15 12:00:31,629 - INFO - Прокрутка страницы, собрано ссылок: 384
2025-06-15 12:00:32,150 - INFO - Собрано новых ссылок: 96, всего: 396
2025-06-15 12:00:32,152 - INFO - Прокрутка страницы, собрано ссылок: 396
2025-06-15 12:00:32,671 - INFO - Собрано новых ссылок: 96, всего: 408
2025-06-15 12:00:32,673 - INFO - Прокрутка страницы, собрано ссылок: 408
2025-06-15 12:00:33,209 - INFO - Собрано новых ссылок: 96, всего: 408
2025-06-15 12:00:33,211 - INFO - Прокрутка страницы, собрано ссылок: 408
2025-06-15 12:00:33,724 - INFO - Собрано новых ссылок: 96, всего: 420
2025-06-15 12:00:33,726 - INFO - Прокрутка страницы, собрано ссылок: 420
2025-06-15 12:00:34,248 - INFO - Собрано новых ссылок: 96, всего: 420
2025-06-15 12:00:34,250 - INFO - Прокрутка страницы, собрано ссылок: 420
2025-06-15 12:00:34,779 - INFO - Собрано новых ссылок: 96, всего: 420
2025-06-15 12:00:34,782 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:00:34,782 - INFO - Прокрутка страницы, собрано ссылок: 420
2025-06-15 12:00:35,294 - INFO - Собрано новых ссылок: 96, всего: 432
2025-06-15 12:00:35,295 - INFO - Прокрутка страницы, собрано ссылок: 432
2025-06-15 12:00:35,808 - INFO - Собрано новых ссылок: 96, всего: 444
2025-06-15 12:00:35,810 - INFO - Прокрутка страницы, собрано ссылок: 444
2025-06-15 12:00:36,334 - INFO - Собрано новых ссылок: 96, всего: 444
2025-06-15 12:00:36,338 - INFO - Прокрутка страницы, собрано ссылок: 444
2025-06-15 12:00:36,858 - INFO - Собрано новых ссылок: 96, всего: 456
2025-06-15 12:00:36,861 - INFO - Прокрутка страницы, собрано ссылок: 456
2025-06-15 12:00:37,390 - INFO - Собрано новых ссылок: 96, всего: 456
2025-06-15 12:00:37,393 - INFO - Прокрутка страницы, собрано ссылок: 456
2025-06-15 12:00:37,922 - INFO - Собрано новых ссылок: 96, всего: 456
2025-06-15 12:00:37,924 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:00:37,924 - INFO - Прокрутка страницы, собрано ссылок: 456
2025-06-15 12:00:38,451 - INFO - Собрано новых ссылок: 96, всего: 468
2025-06-15 12:00:38,453 - INFO - Прокрутка страницы, собрано ссылок: 468
2025-06-15 12:00:39,004 - INFO - Собрано новых ссылок: 96, всего: 480
2025-06-15 12:00:39,005 - INFO - Прокрутка страницы, собрано ссылок: 480
2025-06-15 12:00:39,569 - INFO - Собрано новых ссылок: 88, всего: 488
2025-06-15 12:00:39,573 - INFO - Прокрутка страницы, собрано ссылок: 488
2025-06-15 12:00:40,111 - INFO - Собрано новых ссылок: 96, всего: 492
2025-06-15 12:00:40,113 - INFO - Прокрутка страницы, собрано ссылок: 492
2025-06-15 12:00:40,635 - INFO - Собрано новых ссылок: 96, всего: 492
2025-06-15 12:00:40,637 - INFO - Прокрутка страницы, собрано ссылок: 492
2025-06-15 12:00:41,160 - INFO - Собрано новых ссылок: 96, всего: 492
2025-06-15 12:00:41,162 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:00:41,162 - INFO - Прокрутка страницы, собрано ссылок: 492
2025-06-15 12:00:41,684 - INFO - Собрано новых ссылок: 96, всего: 504
2025-06-15 12:00:41,687 - INFO - Прокрутка страницы, собрано ссылок: 504
2025-06-15 12:00:42,203 - INFO - Собрано новых ссылок: 96, всего: 516
2025-06-15 12:00:42,205 - INFO - Прокрутка страницы, собрано ссылок: 516
2025-06-15 12:00:42,728 - INFO - Собрано новых ссылок: 96, всего: 516
2025-06-15 12:00:42,730 - INFO - Прокрутка страницы, собрано ссылок: 516
2025-06-15 12:00:43,258 - INFO - Собрано новых ссылок: 96, всего: 528
2025-06-15 12:00:43,260 - INFO - Прокрутка страницы, собрано ссылок: 528
2025-06-15 12:00:43,792 - INFO - Собрано новых ссылок: 96, всего: 528
2025-06-15 12:00:43,794 - INFO - Прокрутка страницы, собрано ссылок: 528
2025-06-15 12:00:44,389 - INFO - Собрано новых ссылок: 96, всего: 540
2025-06-15 12:00:44,394 - INFO - Прокрутка страницы, собрано ссылок: 540
2025-06-15 12:00:44,915 - INFO - Собрано новых ссылок: 96, всего: 552
2025-06-15 12:00:44,916 - INFO - Прокрутка страницы, собрано ссылок: 552
2025-06-15 12:00:45,442 - INFO - Собрано новых ссылок: 96, всего: 552
2025-06-15 12:00:45,448 - INFO - Прокрутка страницы, собрано ссылок: 552
2025-06-15 12:00:45,970 - INFO - Собрано новых ссылок: 96, всего: 564
2025-06-15 12:00:45,973 - INFO - Прокрутка страницы, собрано ссылок: 564
2025-06-15 12:00:46,495 - INFO - Собрано новых ссылок: 96, всего: 564
2025-06-15 12:00:46,498 - INFO - Прокрутка страницы, собрано ссылок: 564
2025-06-15 12:00:47,027 - INFO - Собрано новых ссылок: 96, всего: 564
2025-06-15 12:00:47,029 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:00:47,029 - INFO - Прокрутка страницы, собрано ссылок: 564
2025-06-15 12:00:47,542 - INFO - Собрано новых ссылок: 96, всего: 576
2025-06-15 12:00:47,543 - INFO - Прокрутка страницы, собрано ссылок: 576
2025-06-15 12:00:48,067 - INFO - Собрано новых ссылок: 96, всего: 588
2025-06-15 12:00:48,069 - INFO - Прокрутка страницы, собрано ссылок: 588
2025-06-15 12:00:48,591 - INFO - Собрано новых ссылок: 96, всего: 588
2025-06-15 12:00:48,594 - INFO - Прокрутка страницы, собрано ссылок: 588
2025-06-15 12:00:49,123 - INFO - Собрано новых ссылок: 96, всего: 600
2025-06-15 12:00:49,124 - INFO - Прокрутка страницы, собрано ссылок: 600
2025-06-15 12:00:49,658 - INFO - Собрано новых ссылок: 96, всего: 600
2025-06-15 12:00:49,661 - INFO - Прокрутка страницы, собрано ссылок: 600
2025-06-15 12:00:50,191 - INFO - Собрано новых ссылок: 96, всего: 600
2025-06-15 12:00:50,193 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:00:50,194 - INFO - Прокрутка страницы, собрано ссылок: 600
2025-06-15 12:00:50,712 - INFO - Собрано новых ссылок: 96, всего: 612
2025-06-15 12:00:50,715 - INFO - Прокрутка страницы, собрано ссылок: 612
2025-06-15 12:00:51,236 - INFO - Собрано новых ссылок: 96, всего: 624
2025-06-15 12:00:51,238 - INFO - Прокрутка страницы, собрано ссылок: 624
2025-06-15 12:00:51,763 - INFO - Собрано новых ссылок: 96, всего: 624
2025-06-15 12:00:51,766 - INFO - Прокрутка страницы, собрано ссылок: 624
2025-06-15 12:00:52,284 - INFO - Собрано новых ссылок: 96, всего: 636
2025-06-15 12:00:52,286 - INFO - Прокрутка страницы, собрано ссылок: 636
2025-06-15 12:00:52,806 - INFO - Собрано новых ссылок: 96, всего: 636
2025-06-15 12:00:52,808 - INFO - Прокрутка страницы, собрано ссылок: 636
2025-06-15 12:00:53,346 - INFO - Собрано новых ссылок: 96, всего: 636
2025-06-15 12:00:53,348 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:00:53,348 - INFO - Прокрутка страницы, собрано ссылок: 636
2025-06-15 12:00:53,872 - INFO - Собрано новых ссылок: 96, всего: 648
2025-06-15 12:00:53,876 - INFO - Прокрутка страницы, собрано ссылок: 648
2025-06-15 12:00:54,401 - INFO - Собрано новых ссылок: 96, всего: 648
2025-06-15 12:00:54,403 - INFO - Прокрутка страницы, собрано ссылок: 648
2025-06-15 12:00:54,924 - INFO - Собрано новых ссылок: 96, всего: 648
2025-06-15 12:00:54,927 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:00:54,927 - INFO - Прокрутка страницы, собрано ссылок: 648
2025-06-15 12:00:55,443 - INFO - Собрано новых ссылок: 96, всего: 660
2025-06-15 12:00:55,445 - INFO - Прокрутка страницы, собрано ссылок: 660
2025-06-15 12:00:55,969 - INFO - Собрано новых ссылок: 96, всего: 672
2025-06-15 12:00:55,972 - INFO - Прокрутка страницы, собрано ссылок: 672
2025-06-15 12:00:56,499 - INFO - Собрано новых ссылок: 96, всего: 672
2025-06-15 12:00:56,501 - INFO - Прокрутка страницы, собрано ссылок: 672
2025-06-15 12:00:57,014 - INFO - Собрано новых ссылок: 96, всего: 684
2025-06-15 12:00:57,015 - INFO - Прокрутка страницы, собрано ссылок: 684
2025-06-15 12:00:57,541 - INFO - Собрано новых ссылок: 96, всего: 684
2025-06-15 12:00:57,544 - INFO - Прокрутка страницы, собрано ссылок: 684
2025-06-15 12:00:58,069 - INFO - Собрано новых ссылок: 96, всего: 684
2025-06-15 12:00:58,070 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:00:58,071 - INFO - Прокрутка страницы, собрано ссылок: 684
2025-06-15 12:00:58,594 - INFO - Собрано новых ссылок: 96, всего: 696
2025-06-15 12:00:58,597 - INFO - Прокрутка страницы, собрано ссылок: 696
2025-06-15 12:00:59,112 - INFO - Собрано новых ссылок: 96, всего: 708
2025-06-15 12:00:59,114 - INFO - Прокрутка страницы, собрано ссылок: 708
2025-06-15 12:00:59,626 - INFO - Собрано новых ссылок: 96, всего: 720
2025-06-15 12:00:59,627 - INFO - Прокрутка страницы, собрано ссылок: 720
2025-06-15 12:01:00,151 - INFO - Собрано новых ссылок: 96, всего: 720
2025-06-15 12:01:00,153 - INFO - Прокрутка страницы, собрано ссылок: 720
2025-06-15 12:01:00,681 - INFO - Собрано новых ссылок: 96, всего: 720
2025-06-15 12:01:00,683 - INFO - Прокрутка страницы, собрано ссылок: 720
2025-06-15 12:01:01,211 - INFO - Собрано новых ссылок: 96, всего: 720
2025-06-15 12:01:01,213 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:01:01,214 - INFO - Прокрутка страницы, собрано ссылок: 720
2025-06-15 12:01:01,727 - INFO - Собрано новых ссылок: 96, всего: 732
2025-06-15 12:01:01,728 - INFO - Прокрутка страницы, собрано ссылок: 732
2025-06-15 12:01:02,240 - INFO - Собрано новых ссылок: 96, всего: 744
2025-06-15 12:01:02,241 - INFO - Прокрутка страницы, собрано ссылок: 744
2025-06-15 12:01:02,757 - INFO - Собрано новых ссылок: 96, всего: 744
2025-06-15 12:01:02,760 - INFO - Прокрутка страницы, собрано ссылок: 744
2025-06-15 12:01:03,277 - INFO - Собрано новых ссылок: 96, всего: 756
2025-06-15 12:01:03,278 - INFO - Прокрутка страницы, собрано ссылок: 756
2025-06-15 12:01:03,805 - INFO - Собрано новых ссылок: 96, всего: 756
2025-06-15 12:01:03,807 - INFO - Прокрутка страницы, собрано ссылок: 756
2025-06-15 12:01:04,334 - INFO - Собрано новых ссылок: 96, всего: 756
2025-06-15 12:01:04,335 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:01:04,335 - INFO - Прокрутка страницы, собрано ссылок: 756
2025-06-15 12:01:04,848 - INFO - Собрано новых ссылок: 96, всего: 768
